player_id,player_name,date,description,injury_category,season
149,James Wiseman,2021-10-24,Injury/Illness - Right Knee; Injury Recovery,Knee,2022
359,Maurice Harkless,2021-10-24,Injury/Illness - Left Hip; Soreness,Hip,2022
194,Wayne Ellington,2021-10-24,Injury/Illness - Left Hamstring; Strain,Hamstring,2022
213,Talen Horton-Tucker,2021-10-24,Injury/Illness - Right Thumb; Injury Recovery,Illness/Protocol,2022
94,Kendrick Nunn,2021-10-24,Injury/Illness - Right Knee; Bone bruise,Knee,2022
541,Klay Thompson,2021-10-24,Injury/Illness - Right Achilles Tendon; Injury Recovery,Achilles,2022
250,Chuma Okeke,2021-10-24,Injury/Illness - Right Hip; Bone Bruise,Hip,2022
90,Andre Drummond,2021-10-24,Injury/Illness - Right Ankle; Sprain,Ankle,2022
726,Jonathan Isaac,2021-10-24,Injury/Illness - Left Knee; Injury Recovery,Knee,2022
165,Blake Griffin,2021-10-24,Rest,Other,2022
10,Kyrie Irving,2021-10-24,Ineligible To Play,Other,2022
39,Terry Rozier,2021-10-24,Injury/Illness - Right Ankle; Sprain,Ankle,2022
375,E'Twaun Moore,2021-10-24,Injury/Illness - Left Knee; Sprain,Knee,2022
630,Sam Hauser,2021-10-24,G League - Two-Way,Other,2022
251,Payton Pritchard,2021-10-24,Injury/Illness - Nasal Fracture; Face Mask,Illness/Protocol,2022
20,Jaylen Brown,2021-10-24,Injury/Illness - Left Patella; Tendinopathy,Illness/Protocol,2022
353,Taj Gibson,2021-10-24,Personal Reasons,Other,2022
368,Nerlens Noel,2021-10-24,Injury/Illness - Left Knee; Sore,Knee,2022
429,Luka Samanic,2021-10-24,G League - Two-Way,Other,2022
216,Michael Carter-Williams,2021-10-24,Injury/Illness - Left Ankle; Injury Recovery,Ankle,2022
123,Markelle Fultz,2021-10-24,Injury/Illness - Left Knee; Injury Recovery,Knee,2022
186,Gary Harris,2021-10-24,Injury/Illness - Right Hamstring; Injury Maintenance,Hamstring,2022
418,Brodric Thomas,2021-10-24,G League - Two-Way,Other,2022
342,Garrison Mathews,2021-10-26,G League - Two-Way,Other,2022
620,Daishen Nix,2021-10-26,G League - Two-Way,Other,2022
199,Trevor Ariza,2021-10-26,Injury/Illness - Right Ankle; Injury recovery,Ankle,2022
367,Sekou Doumbouya,2021-10-26,G League - Two-Way,Other,2022
194,Wayne Ellington,2021-10-26,Injury/Illness - Left Hamstring; Strain,Hamstring,2022
213,Talen Horton-Tucker,2021-10-26,Injury/Illness - Right Thumb; Injury recovery,Illness/Protocol,2022
17,LeBron James,2021-10-26,Injury/Illness - Right Ankle; Soreness,Ankle,2022
153,Rudy Gay,2021-10-26,Injury/Illness - Right Heel; Injury recovery,Illness/Protocol,2022
493,Devontae Cacok,2021-10-26,Not With Team,Other,2022
571,Zach Collins,2021-10-26,Injury/Illness - Left Ankle; Stress Fracture,Ankle,2022
253,PJ Dozier,2021-10-26,Injury/Illness - Left Elbow; Sprain,Illness/Protocol,2022
35,Jamal Murray,2021-10-26,Injury/Illness - Left Knee; Injury Recovery,Knee,2022
647,Eugene Omoruyi,2021-10-26,G League - Two-Way,Other,2022
495,Miye Oni,2021-10-26,Injury/Illness - N/A; Non-COVID related illness,Illness/Protocol,2022
94,Kendrick Nunn,2021-10-26,Injury/Illness - Right Knee; Bone bruise,Knee,2022
683,JaQuori McLaughlin,2021-10-26,G League - Two-Way,Other,2022
686,Jay Huff,2021-10-26,G League - Two-Way,Other,2022
406,Paul Watson,2021-10-26,G League - Two-Way,Other,2022
564,Aaron Wiggins,2021-10-26,G League - Two-Way,Other,2022
429,Luka Samanic,2021-10-26,G League - Two-Way,Other,2022
90,Andre Drummond,2021-10-26,Injury/Illness - Right Ankle; Sprain,Ankle,2022
4,Joel Embiid,2021-10-26,Injury/Illness - Right Knee; Soreness,Knee,2022
672,Aaron Henry,2021-10-26,G League - Two-Way,Other,2022
122,Shake Milton,2021-10-26,Injury/Illness - Right Ankle; Sprain,Ankle,2022
464,Grant Riller,2021-10-26,Injury/Illness - Left Knee; Injury recovery,Knee,2022
99,Ben Simmons,2021-10-26,Personal Reasons,Other,2022
368,Nerlens Noel,2021-10-26,Injury/Illness - Left Knee; sore,Knee,2022
638,Jeff Dowtin Jr.,2021-10-26,G League - Two-Way,Other,2022
397,Andre Iguodala,2021-10-26,Injury/Illness - Left Hip; Soreness,Hip,2022
560,Jonathan Kuminga,2021-10-26,Injury/Illness - Right Patellar Tendon; Strain,Illness/Protocol,2022
541,Klay Thompson,2021-10-26,Injury/Illness - Right Achilles Tendon; Injury Recovery,Achilles,2022
149,James Wiseman,2021-10-26,Injury/Illness - Right Knee; Injury Recovery,Knee,2022
346,Derrick Favors,2021-10-26,Rest,Other,2022
663,Jaden Springer,2021-10-26,G League - On Assignment,Other,2022
664,McKinley Wright IV,2021-10-27,G League - Two-Way,Other,2022
151,Bobby Portis,2021-10-27,Injury/Illness - Left Hamstring; Strain,Hamstring,2022
387,Semi Ojeleye,2021-10-27,Injury/Illness - Left Calf; Strain,Calf,2022
137,Brook Lopez,2021-10-27,Injury/Illness - Back; Soreness,Back,2022
59,Jrue Holiday,2021-10-27,Injury/Illness - Left Ankle; Sprain,Ankle,2022
175,Donte DiVincenzo,2021-10-27,Injury/Illness - Left Ankle; Injury recovery,Ankle,2022
190,Mike Muscala,2021-10-27,Rest,Other,2022
406,Paul Watson,2021-10-27,G League - Two-Way,Other,2022
94,Kendrick Nunn,2021-10-27,Injury/Illness - Right Knee; Bone bruise,Knee,2022
17,LeBron James,2021-10-27,Injury/Illness - Right Ankle; Soreness,Ankle,2022
686,Jay Huff,2021-10-27,G League - Two-Way,Other,2022
64,Dillon Brooks,2021-10-27,Injury/Illness - Left Hand; Fracture Recovery,Hand,2022
564,Aaron Wiggins,2021-10-27,G League - Two-Way,Other,2022
55,Norman Powell,2021-10-27,Injury/Illness - Left Patellar; Tendinopathy,Illness/Protocol,2022
231,Cameron Payne,2021-10-27,Injury/Illness - Right Hamstring; Strain,Hamstring,2022
271,Louis King,2021-10-27,G League - Two-Way,Other,2022
625,Neemias Queta,2021-10-27,G League - Two-Way,Other,2022
445,Jahmi'us Ramsey,2021-10-27,G League - On Assignment,Other,2022
507,Robert Woodard II,2021-10-27,G League - On Assignment,Other,2022
469,Tacko Fall,2021-10-27,G League - Two-Way,Other,2022
193,Isaac Okoro,2021-10-27,Injury/Illness - Left Hamstring; Strain,Hamstring,2022
162,Serge Ibaka,2021-10-27,Injury/Illness - Low Back; Injury Recovery,Back,2022
575,Keon Johnson,2021-10-27,Injury/Illness - Illness; N/A,Illness/Protocol,2022
18,Kawhi Leonard,2021-10-27,Injury/Illness - Right Knee; ACL - Injury Recovery,Knee,2022
115,Marcus Morris Sr.,2021-10-27,Injury/Illness - Left Knee; Injury Maintenance,Knee,2022
756,Jason Preston,2021-10-27,Injury/Illness - Right Foot; Injury Recovery,Foot,2022
213,Talen Horton-Tucker,2021-10-27,Injury/Illness - Right Thumb; Injury recovery,Illness/Protocol,2022
354,Tony Snell,2021-10-27,Injury/Illness - Right Foot; Sprain,Foot,2022
367,Sekou Doumbouya,2021-10-27,G League - Two-Way,Other,2022
194,Wayne Ellington,2021-10-27,Injury/Illness - Left Hamstring; Strain,Hamstring,2022
